xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta,R_atomic(A)
0.0,-4.0389499669,35.1946239472,31,Al,56,internal,,,,,,,1.43
0.0,-4.0389499669,39.2336711882,32,Al,56,internal,,,,,,,1.43
0.0,-2.0194749828999994,29.136188268199998,33,Al,56,internal,,,,,,,1.43
0.0,-2.0194749828999994,33.175235748199995,34,Al,56,internal,,,,,,,1.43
0.0,-2.0194749828999994,37.2140121462,35,Al,56,internal,,,,,,,1.43
2.019474983,-4.0389499669,29.136188268199998,36,Al,56,internal,,,,,,,1.43
2.019474983,-4.0389499669,33.175235748199995,37,Al,56,internal,,,,,,,1.43
2.019474983,-4.0389499669,37.2140121462,38,Al,56,internal,,,,,,,1.43
2.019474983,-2.0194749828999994,27.1168003082,39,Al,56,internal,,,,,,,1.43
2.019474983,-2.0194749828999994,31.155847549199997,40,Al,56,internal,,,,,,,1.43
2.019474983,-2.0194749828999994,35.1946239472,41,Al,56,internal,,,,,,,1.43
2.019474983,-2.0194749828999994,39.2336711882,42,Al,56,internal,,,,,,,1.43
4.038949966,-4.0389499669,27.1168003082,43,Al,56,internal,,,,,,,1.43
4.038949966,-4.0389499669,31.155847549199997,44,Al,56,internal,,,,,,,1.43
4.038949966,-4.0389499669,35.1946239472,45,Al,56,internal,,,,,,,1.43
4.038949966,-4.0389499669,39.2336711882,46,Al,56,internal,,,,,,,1.43
4.038949966,-2.0194749828999994,29.136188268199998,47,Al,56,internal,,,,,,,1.43
4.038949966,-2.0194749828999994,33.175235748199995,48,Al,56,internal,,,,,,,1.43
4.038949966,-2.0194749828999994,37.2140121462,49,Al,56,internal,,,,,,,1.43
6.05842495,-4.0389499669,29.136188268199998,50,Al,56,internal,,,,,,,1.43
6.05842495,-4.0389499669,33.175235748199995,51,Al,56,internal,,,,,,,1.43
6.05842495,-4.0389499669,37.2140121462,52,Al,56,internal,,,,,,,1.43
6.05842495,-2.0194749828999994,27.1168003082,53,Al,56,internal,,,,,,,1.43
6.05842495,-2.0194749828999994,31.155847549199997,54,Al,56,internal,,,,,,,1.43
6.05842495,-2.0194749828999994,35.1946239472,55,Al,56,internal,,,,,,,1.43
6.05842495,-2.0194749828999994,39.2336711882,56,Al,56,internal,,,,,,,1.43
0.0,0.0,-27.1168003082,1,Al,56,internal,,,,,,,1.43
0.0,0.0,-23.0777530672,2,Al,56,internal,,,,,,,1.43
0.0,0.0,-19.038976669199997,3,Al,56,internal,,,,,,,1.43
0.0,0.0,-14.999929428199998,4,Al,56,internal,,,,,,,1.43
0.0,2.019474983,-25.0974123482,5,Al,56,internal,,,,,,,1.43
0.0,2.019474983,-21.058364868199998,6,Al,56,internal,,,,,,,1.43
0.0,2.019474983,-17.0195884702,7,Al,56,internal,,,,,,,1.43
2.019474983,0.0,-25.0974123482,8,Al,56,internal,,,,,,,1.43
2.019474983,0.0,-21.058364868199998,9,Al,56,internal,,,,,,,1.43
2.019474983,0.0,-17.0195884702,10,Al,56,internal,,,,,,,1.43
2.019474983,2.019474983,-27.1168003082,11,Al,56,internal,,,,,,,1.43
2.019474983,2.019474983,-23.0777530672,12,Al,56,internal,,,,,,,1.43
2.019474983,2.019474983,-19.038976669199997,13,Al,56,internal,,,,,,,1.43
2.019474983,2.019474983,-14.999929428199998,14,Al,56,internal,,,,,,,1.43
4.038949966,0.0,-27.1168003082,15,Al,56,internal,,,,,,,1.43
4.038949966,0.0,-23.0777530672,16,Al,56,internal,,,,,,,1.43
4.038949966,0.0,-19.038976669199997,17,Al,56,internal,,,,,,,1.43
4.038949966,0.0,-14.999929428199998,18,Al,56,internal,,,,,,,1.43
4.038949966,2.019474983,-25.0974123482,19,Al,56,internal,,,,,,,1.43
4.038949966,2.019474983,-21.058364868199998,20,Al,56,internal,,,,,,,1.43
4.038949966,2.019474983,-17.0195884702,21,Al,56,internal,,,,,,,1.43
6.05842495,0.0,-25.0974123482,22,Al,56,internal,,,,,,,1.43
6.05842495,0.0,-21.058364868199998,23,Al,56,internal,,,,,,,1.43
6.05842495,0.0,-17.0195884702,24,Al,56,internal,,,,,,,1.43
6.05842495,2.019474983,-27.1168003082,25,Al,56,internal,,,,,,,1.43
6.05842495,2.019474983,-23.0777530672,26,Al,56,internal,,,,,,,1.43
6.05842495,2.019474983,-19.038976669199997,27,Al,56,internal,,,,,,,1.43
6.05842495,2.019474983,-14.999929428199998,28,Al,56,internal,,,,,,,1.43
0.0,4.038949966,-27.1168003082,29,Al,56,internal,,,,,,,1.43
0.0,4.038949966,-23.0777530672,30,Al,56,internal,,,,,,,1.43
0.0,4.038949966,-19.038976669199997,31,Al,56,internal,,,,,,,1.43
0.0,4.038949966,-14.999929428199998,32,Al,56,internal,,,,,,,1.43
0.0,6.05842495,-25.0974123482,33,Al,56,internal,,,,,,,1.43
0.0,6.05842495,-21.058364868199998,34,Al,56,internal,,,,,,,1.43
0.0,6.05842495,-17.0195884702,35,Al,56,internal,,,,,,,1.43
2.019474983,4.038949966,-25.0974123482,36,Al,56,internal,,,,,,,1.43
2.019474983,4.038949966,-21.058364868199998,37,Al,56,internal,,,,,,,1.43
2.019474983,4.038949966,-17.0195884702,38,Al,56,internal,,,,,,,1.43
2.019474983,6.05842495,-27.1168003082,39,Al,56,internal,,,,,,,1.43
2.019474983,6.05842495,-23.0777530672,40,Al,56,internal,,,,,,,1.43
2.019474983,6.05842495,-19.038976669199997,41,Al,56,internal,,,,,,,1.43
2.019474983,6.05842495,-14.999929428199998,42,Al,56,internal,,,,,,,1.43
4.038949966,4.038949966,-27.1168003082,43,Al,56,internal,,,,,,,1.43
4.038949966,4.038949966,-23.0777530672,44,Al,56,internal,,,,,,,1.43
4.038949966,4.038949966,-19.038976669199997,45,Al,56,internal,,,,,,,1.43
4.038949966,4.038949966,-14.999929428199998,46,Al,56,internal,,,,,,,1.43
4.038949966,6.05842495,-25.0974123482,47,Al,56,internal,,,,,,,1.43
4.038949966,6.05842495,-21.058364868199998,48,Al,56,internal,,,,,,,1.43
4.038949966,6.05842495,-17.0195884702,49,Al,56,internal,,,,,,,1.43
6.05842495,4.038949966,-25.0974123482,50,Al,56,internal,,,,,,,1.43
6.05842495,4.038949966,-21.058364868199998,51,Al,56,internal,,,,,,,1.43
6.05842495,4.038949966,-17.0195884702,52,Al,56,internal,,,,,,,1.43
6.05842495,6.05842495,-27.1168003082,53,Al,56,internal,,,,,,,1.43
6.05842495,6.05842495,-23.0777530672,54,Al,56,internal,,,,,,,1.43
6.05842495,6.05842495,-19.038976669199997,55,Al,56,internal,,,,,,,1.43
6.05842495,6.05842495,-14.999929428199998,56,Al,56,internal,,,,,,,1.43
0.0,0.0,0.0,1,Al,56,2NN,9,5.252143164824474e-11,5.252143164824474e-11,3.8283661816720205,3.8283661816720205,90.00000000170553,1.43
0.0,0.0,4.039047241,2,Al,56,internal,13,7.002920465737361e-11,7.002909363507115e-11,-0.0001898285253976173,0.00018982852539764313,177.31935819833333,1.43
0.0,0.0,8.077823639,3,Al,56,internal,13,7.002831647895391e-11,7.002820545665145e-11,0.0,9.903491641010011e-11,180.0,1.43
0.0,0.0,12.11687088,4,Al,56,2NN,9,5.252265289357183e-11,5.252254187126937e-11,-3.828556010231119,3.828556010231119,90.00000000171858,1.43
0.0,2.019474983,2.01938796,5,Al,56,internal,12,7.002887159046622e-11,1.1102230246251565e-16,1.0001899959049725,1.0001899959049725,134.9987654826239,1.43
0.0,2.019474983,6.05843544,6,Al,56,internal,13,7.002842750125637e-11,0.0,-1.1102230246251565e-16,7.002842750134438e-11,180.0,1.43
0.0,2.019474983,10.097211838,7,Al,56,internal,13,7.002920465737361e-11,-3.3306690738754696e-16,-0.9998103388204733,0.9998103388204733,135.00261090816696,1.43
2.019474983,0.0,2.01938796,8,Al,56,internal,12,0.0,7.002931567967607e-11,1.0001899959049723,1.0001899959049723,134.99876548262384,1.43
2.019474983,0.0,6.05843544,9,Al,56,internal,13,-1.1102230246251565e-16,7.00277613674416e-11,-6.661338147750939e-16,7.002776137069789e-11,180.0,1.43
2.019474983,0.0,10.097211838,10,Al,56,internal,13,-3.3306690738754696e-16,7.002909363507115e-11,-0.9998103388204731,0.9998103388204731,135.00261090816693,1.43
2.019474983,2.019474983,0.0,11,Al,56,2NN,11,-1.1102230246251565e-16,-1.1102230246251565e-16,3.8283661816370054,3.8283661816370054,90.00000000232288,1.43
2.019474983,2.019474983,4.039047241,12,Al,56,internal,15,-4.440892098500626e-16,-2.220446049250313e-16,-0.00018982852539994877,0.00018982852539994877,179.53394417206744,1.43
2.019474983,2.019474983,8.077823639,13,Al,56,internal,13,0.0,0.0,3.3306690738754696e-16,3.3306690738754696e-16,180.0,1.43
2.019474983,2.019474983,12.11687088,14,Al,56,2NN,11,0.0,0.0,-3.828556010196106,3.828556010196106,90.00000000232326,1.43
4.038949966,0.0,0.0,15,Al,56,2NN,11,5.252122070587006e-10,5.252132062594228e-11,3.828366181479437,3.828366181479437,90.00000000269247,1.43
4.038949966,0.0,4.039047241,16,Al,56,internal,15,7.002918245291312e-10,7.00286495458613e-11,-0.00018982852541027384,0.0001898285254115785,180.0,1.43
4.038949966,0.0,8.077823639,17,Al,56,internal,13,7.002800561650702e-10,7.002842750125637e-11,0.0,7.037727884202774e-10,180.0,1.43
4.038949966,0.0,12.11687088,18,Al,56,2NN,11,5.252240864450641e-10,5.252265289357183e-11,-3.8285560100385485,3.8285560100385485,90.0000000026928,1.43
4.038949966,2.019474983,2.01938796,19,Al,56,internal,13,7.002923796406435e-10,0.0,1.0001899959049851,1.0001899959049851,134.99876548546194,1.43
4.038949966,2.019474983,6.05843544,20,Al,56,internal,13,7.002802782096751e-10,4.440892098500626e-16,-9.992007221626409e-16,7.002802782105287e-10,180.0,1.43
4.038949966,2.019474983,10.097211838,21,Al,56,internal,14,7.00292268618341e-10,2.220446049250313e-16,-0.9998103388204602,0.9998103388204602,135.00261091100373,1.43
6.05842495,0.0,2.01938796,22,Al,56,internal,13,-7.703215842980171e-10,7.0029537724281e-11,1.0001899959049831,1.0001899959049831,134.99876548735347,1.43
6.05842495,0.0,6.05843544,23,Al,56,internal,13,-7.703079285548142e-10,7.002831647895391e-11,-5.551115123125783e-16,7.734844988127387e-10,180.0,1.43
6.05842495,0.0,10.097211838,24,Al,56,internal,14,-7.703213622534122e-10,7.002931567967607e-11,-0.9998103388204627,0.9998103388204627,135.00261091289514,1.43
6.05842495,2.019474983,0.0,25,Al,56,2NN,11,-5.777336387069454e-10,-1.1102230246251565e-16,3.828366181479437,3.828366181479437,90.0000000032908,1.43
6.05842495,2.019474983,4.039047241,26,Al,56,internal,15,-7.703212512311097e-10,0.0,-0.00018982852541082895,0.0001898285254123919,179.99999708503447,1.43
6.05842495,2.019474983,8.077823639,27,Al,56,internal,13,-7.703083726440241e-10,1.1102230246251565e-16,4.440892098500626e-16,7.7030837264416e-10,180.0,1.43
6.05842495,2.019474983,12.11687088,28,Al,56,2NN,11,-5.777462952494261e-10,2.220446049250313e-16,-3.8285560100385485,3.8285560100385485,90.0000000032912,1.43
0.0,4.038949966,0.0,29,Al,56,2NN,11,5.252132062594228e-11,5.252123180810031e-10,3.8283661814794367,3.8283661814794367,90.00000000269247,1.43
0.0,4.038949966,4.039047241,30,Al,56,internal,15,7.002931567967607e-11,7.002921575960386e-10,-0.00018982852541016282,0.00018982852541146744,180.0,1.43
0.0,4.038949966,8.077823639,31,Al,56,internal,13,7.002820545665145e-11,7.002799451427677e-10,1.1102230246251565e-16,7.037726558546083e-10,180.0,1.43
0.0,4.038949966,12.11687088,32,Al,56,2NN,11,5.2522430848966906e-11,5.252238644004592e-10,-3.8285560100385485,3.8285560100385485,90.00000000269281,1.43
0.0,6.05842495,2.01938796,33,Al,56,internal,13,7.002931567967607e-11,-7.703212512311097e-10,1.0001899959049831,1.0001899959049831,134.99876548735344,1.43
0.0,6.05842495,6.05843544,34,Al,56,internal,13,7.002842750125637e-11,-7.703083726440241e-10,-8.881784197001252e-16,7.73484951129996e-10,180.0,1.43
0.0,6.05842495,10.097211838,35,Al,56,internal,14,7.002942670197854e-11,-7.703213622534122e-10,-0.9998103388204629,0.9998103388204629,135.00261091289514,1.43
2.019474983,4.038949966,2.01938796,36,Al,56,internal,13,0.0,7.00292268618341e-10,1.0001899959049854,1.0001899959049854,134.99876548546194,1.43
2.019474983,4.038949966,6.05843544,37,Al,56,internal,13,-2.220446049250313e-16,7.002800561650702e-10,-5.551115123125783e-16,7.002800561653253e-10,180.0,1.43
2.019474983,4.038949966,10.097211838,38,Al,56,internal,14,1.1102230246251565e-16,7.002920465737361e-10,-0.9998103388204602,0.9998103388204602,135.00261091100373,1.43
2.019474983,6.05842495,0.0,39,Al,56,2NN,11,-1.1102230246251565e-16,-5.77733305640038e-10,3.828366181479437,3.828366181479437,90.00000000329081,1.43
2.019474983,6.05842495,4.039047241,40,Al,56,internal,15,2.220446049250313e-16,-7.703211402088073e-10,-0.00018982852541016282,0.00018982852541172578,179.99999460026135,1.43
2.019474983,6.05842495,8.077823639,41,Al,56,internal,13,1.1102230246251565e-16,-7.703087057109315e-10,-1.1102230246251565e-16,7.703087057109475e-10,180.0,1.43
2.019474983,6.05842495,12.11687088,42,Al,56,2NN,11,-1.1102230246251565e-16,-5.77746517294031e-10,-3.8285560100385485,3.8285560100385485,90.0000000032912,1.43
4.038949966,4.038949966,0.0,43,Al,56,2NN,13,5.252123180810031e-10,5.252123180810031e-10,3.8283661812868535,3.8283661812868535,90.0000000036604,1.43
4.038949966,4.038949966,4.039047241,44,Al,56,internal,17,7.002920465737361e-10,7.002923796406435e-10,-0.00018982852542315243,0.00018982852542573586,179.53841158497409,1.43
4.038949966,4.038949966,8.077823639,45,Al,56,internal,13,7.002803892319776e-10,7.002803892319776e-10,1.1102230246251565e-16,9.903460239157788e-10,180.0,1.43
4.038949966,4.038949966,12.11687088,46,Al,56,2NN,13,5.252240864450641e-10,5.252243084896691e-10,-3.828556009845978,3.828556009845978,90.00000000366114,1.43
4.038949966,6.05842495,2.01938796,47,Al,56,internal,14,7.002921575960386e-10,-7.703215842980171e-10,1.0001899959049962,1.0001899959049962,134.9987654873535,1.43
4.038949966,6.05842495,6.05843544,48,Al,56,internal,13,7.002808333211874e-10,-7.703084836663265e-10,-9.992007221626409e-16,1.041041980674329e-09,180.0,1.43
4.038949966,6.05842495,10.097211838,49,Al,56,internal,15,7.00292268618341e-10,-7.703215842980171e-10,-0.9998103388204498,0.9998103388204498,135.00261091289516,1.43
6.05842495,4.038949966,2.01938796,50,Al,56,internal,14,-7.703214732757147e-10,7.00292268618341e-10,1.000189995904996,1.000189995904996,134.99876548735347,1.43
6.05842495,4.038949966,6.05843544,51,Al,56,internal,13,-7.703079285548142e-10,7.002803892319776e-10,-6.661338147750939e-16,1.0410412711980936e-09,180.0,1.43
6.05842495,4.038949966,10.097211838,52,Al,56,internal,15,-7.703216953203196e-10,7.002920465737361e-10,-0.99981033882045,0.99981033882045,135.0026109128952,1.43
6.05842495,6.05842495,0.0,53,Al,56,2NN,11,-5.777336387069454e-10,-5.777335276846429e-10,3.8283661813218686,3.8283661813218686,90.0000000042143,1.43
6.05842495,6.05842495,4.039047241,54,Al,56,internal,15,-7.70321806342622e-10,-7.703213622534122e-10,-0.00018982852542037687,0.00018982852542350284,174.41783656553866,1.43
6.05842495,6.05842495,8.077823639,55,Al,56,internal,13,-7.703087057109315e-10,-7.703083726440241e-10,1.1102230246251565e-16,1.0893807833166268e-09,180.0,1.43
6.05842495,6.05842495,12.11687088,56,Al,56,2NN,11,-5.77746739338636e-10,-5.77746739338636e-10,-3.828556009880991,3.828556009880991,90.00000000425918,1.43
0.0,0.0,27.1168003082,1,Al,56,internal,,,,,,,1.43
0.0,0.0,31.155847549199997,2,Al,56,internal,,,,,,,1.43
0.0,0.0,35.1946239472,3,Al,56,internal,,,,,,,1.43
0.0,0.0,39.2336711882,4,Al,56,internal,,,,,,,1.43
0.0,2.019474983,29.136188268199998,5,Al,56,internal,,,,,,,1.43
0.0,2.019474983,33.175235748199995,6,Al,56,internal,,,,,,,1.43
0.0,2.019474983,37.2140121462,7,Al,56,internal,,,,,,,1.43
2.019474983,0.0,29.136188268199998,8,Al,56,internal,,,,,,,1.43
2.019474983,0.0,33.175235748199995,9,Al,56,internal,,,,,,,1.43
2.019474983,0.0,37.2140121462,10,Al,56,internal,,,,,,,1.43
2.019474983,2.019474983,27.1168003082,11,Al,56,internal,,,,,,,1.43
2.019474983,2.019474983,31.155847549199997,12,Al,56,internal,,,,,,,1.43
2.019474983,2.019474983,35.1946239472,13,Al,56,internal,,,,,,,1.43
2.019474983,2.019474983,39.2336711882,14,Al,56,internal,,,,,,,1.43
4.038949966,0.0,27.1168003082,15,Al,56,internal,,,,,,,1.43
4.038949966,0.0,31.155847549199997,16,Al,56,internal,,,,,,,1.43
4.038949966,0.0,35.1946239472,17,Al,56,internal,,,,,,,1.43
4.038949966,0.0,39.2336711882,18,Al,56,internal,,,,,,,1.43
4.038949966,2.019474983,29.136188268199998,19,Al,56,internal,,,,,,,1.43
4.038949966,2.019474983,33.175235748199995,20,Al,56,internal,,,,,,,1.43
4.038949966,2.019474983,37.2140121462,21,Al,56,internal,,,,,,,1.43
6.05842495,0.0,29.136188268199998,22,Al,56,internal,,,,,,,1.43
6.05842495,0.0,33.175235748199995,23,Al,56,internal,,,,,,,1.43
6.05842495,0.0,37.2140121462,24,Al,56,internal,,,,,,,1.43
6.05842495,2.019474983,27.1168003082,25,Al,56,internal,,,,,,,1.43
6.05842495,2.019474983,31.155847549199997,26,Al,56,internal,,,,,,,1.43
6.05842495,2.019474983,35.1946239472,27,Al,56,internal,,,,,,,1.43
6.05842495,2.019474983,39.2336711882,28,Al,56,internal,,,,,,,1.43
0.0,4.038949966,27.1168003082,29,Al,56,internal,,,,,,,1.43
0.0,4.038949966,31.155847549199997,30,Al,56,internal,,,,,,,1.43
0.0,4.038949966,35.1946239472,31,Al,56,internal,,,,,,,1.43
0.0,4.038949966,39.2336711882,32,Al,56,internal,,,,,,,1.43
0.0,6.05842495,29.136188268199998,33,Al,56,internal,,,,,,,1.43
0.0,6.05842495,33.175235748199995,34,Al,56,internal,,,,,,,1.43
0.0,6.05842495,37.2140121462,35,Al,56,internal,,,,,,,1.43
2.019474983,4.038949966,29.136188268199998,36,Al,56,internal,,,,,,,1.43
2.019474983,4.038949966,33.175235748199995,37,Al,56,internal,,,,,,,1.43
2.019474983,4.038949966,37.2140121462,38,Al,56,internal,,,,,,,1.43
2.019474983,6.05842495,27.1168003082,39,Al,56,internal,,,,,,,1.43
2.019474983,6.05842495,31.155847549199997,40,Al,56,internal,,,,,,,1.43
2.019474983,6.05842495,35.1946239472,41,Al,56,internal,,,,,,,1.43
2.019474983,6.05842495,39.2336711882,42,Al,56,internal,,,,,,,1.43
4.038949966,4.038949966,27.1168003082,43,Al,56,internal,,,,,,,1.43
4.038949966,4.038949966,31.155847549199997,44,Al,56,internal,,,,,,,1.43
4.038949966,4.038949966,35.1946239472,45,Al,56,internal,,,,,,,1.43
4.038949966,4.038949966,39.2336711882,46,Al,56,internal,,,,,,,1.43
4.038949966,6.05842495,29.136188268199998,47,Al,56,internal,,,,,,,1.43
4.038949966,6.05842495,33.175235748199995,48,Al,56,internal,,,,,,,1.43
4.038949966,6.05842495,37.2140121462,49,Al,56,internal,,,,,,,1.43
6.05842495,4.038949966,29.136188268199998,50,Al,56,internal,,,,,,,1.43
6.05842495,4.038949966,33.175235748199995,51,Al,56,internal,,,,,,,1.43
6.05842495,4.038949966,37.2140121462,52,Al,56,internal,,,,,,,1.43
6.05842495,6.05842495,27.1168003082,53,Al,56,internal,,,,,,,1.43
6.05842495,6.05842495,31.155847549199997,54,Al,56,internal,,,,,,,1.43
6.05842495,6.05842495,35.1946239472,55,Al,56,internal,,,,,,,1.43
6.05842495,6.05842495,39.2336711882,56,Al,56,internal,,,,,,,1.43
0.0,8.0778999329,-27.1168003082,1,Al,56,internal,,,,,,,1.43
0.0,8.0778999329,-23.0777530672,2,Al,56,internal,,,,,,,1.43
0.0,8.0778999329,-19.038976669199997,3,Al,56,internal,,,,,,,1.43
0.0,8.0778999329,-14.999929428199998,4,Al,56,internal,,,,,,,1.43
0.0,10.0973749159,-25.0974123482,5,Al,56,internal,,,,,,,1.43
0.0,10.0973749159,-21.058364868199998,6,Al,56,internal,,,,,,,1.43
0.0,10.0973749159,-17.0195884702,7,Al,56,internal,,,,,,,1.43
2.019474983,8.0778999329,-25.0974123482,8,Al,56,internal,,,,,,,1.43
2.019474983,8.0778999329,-21.058364868199998,9,Al,56,internal,,,,,,,1.43
2.019474983,8.0778999329,-17.0195884702,10,Al,56,internal,,,,,,,1.43
2.019474983,10.0973749159,-27.1168003082,11,Al,56,internal,,,,,,,1.43
2.019474983,10.0973749159,-23.0777530672,12,Al,56,internal,,,,,,,1.43
2.019474983,10.0973749159,-19.038976669199997,13,Al,56,internal,,,,,,,1.43
2.019474983,10.0973749159,-14.999929428199998,14,Al,56,internal,,,,,,,1.43
4.038949966,8.0778999329,-27.1168003082,15,Al,56,internal,,,,,,,1.43
4.038949966,8.0778999329,-23.0777530672,16,Al,56,internal,,,,,,,1.43
4.038949966,8.0778999329,-19.038976669199997,17,Al,56,internal,,,,,,,1.43
4.038949966,8.0778999329,-14.999929428199998,18,Al,56,internal,,,,,,,1.43
4.038949966,10.0973749159,-25.0974123482,19,Al,56,internal,,,,,,,1.43
4.038949966,10.0973749159,-21.058364868199998,20,Al,56,internal,,,,,,,1.43
4.038949966,10.0973749159,-17.0195884702,21,Al,56,internal,,,,,,,1.43
6.05842495,8.0778999329,-25.0974123482,22,Al,56,internal,,,,,,,1.43
6.05842495,8.0778999329,-21.058364868199998,23,Al,56,internal,,,,,,,1.43
6.05842495,8.0778999329,-17.0195884702,24,Al,56,internal,,,,,,,1.43
6.05842495,10.0973749159,-27.1168003082,25,Al,56,internal,,,,,,,1.43
6.05842495,10.0973749159,-23.0777530672,26,Al,56,internal,,,,,,,1.43
6.05842495,10.0973749159,-19.038976669199997,27,Al,56,internal,,,,,,,1.43
6.05842495,10.0973749159,-14.999929428199998,28,Al,56,internal,,,,,,,1.43
0.0,12.1168498989,-27.1168003082,29,Al,56,internal,,,,,,,1.43
0.0,12.1168498989,-23.0777530672,30,Al,56,internal,,,,,,,1.43
0.0,12.1168498989,-19.038976669199997,31,Al,56,internal,,,,,,,1.43
0.0,12.1168498989,-14.999929428199998,32,Al,56,internal,,,,,,,1.43
0.0,14.136324882899999,-25.0974123482,33,Al,56,internal,,,,,,,1.43
0.0,14.136324882899999,-21.058364868199998,34,Al,56,internal,,,,,,,1.43
0.0,14.136324882899999,-17.0195884702,35,Al,56,internal,,,,,,,1.43
2.019474983,12.1168498989,-25.0974123482,36,Al,56,internal,,,,,,,1.43
2.019474983,12.1168498989,-21.058364868199998,37,Al,56,internal,,,,,,,1.43
2.019474983,12.1168498989,-17.0195884702,38,Al,56,internal,,,,,,,1.43
2.019474983,14.136324882899999,-27.1168003082,39,Al,56,internal,,,,,,,1.43
2.019474983,14.136324882899999,-23.0777530672,40,Al,56,internal,,,,,,,1.43
2.019474983,14.136324882899999,-19.038976669199997,41,Al,56,internal,,,,,,,1.43
2.019474983,14.136324882899999,-14.999929428199998,42,Al,56,internal,,,,,,,1.43
4.038949966,12.1168498989,-27.1168003082,43,Al,56,internal,,,,,,,1.43
4.038949966,12.1168498989,-23.0777530672,44,Al,56,internal,,,,,,,1.43
4.038949966,12.1168498989,-19.038976669199997,45,Al,56,internal,,,,,,,1.43
4.038949966,12.1168498989,-14.999929428199998,46,Al,56,internal,,,,,,,1.43
4.038949966,14.136324882899999,-25.0974123482,47,Al,56,internal,,,,,,,1.43
4.038949966,14.136324882899999,-21.058364868199998,48,Al,56,internal,,,,,,,1.43
4.038949966,14.136324882899999,-17.0195884702,49,Al,56,internal,,,,,,,1.43
6.05842495,12.1168498989,-25.0974123482,50,Al,56,internal,,,,,,,1.43
6.05842495,12.1168498989,-21.058364868199998,51,Al,56,internal,,,,,,,1.43
6.05842495,12.1168498989,-17.0195884702,52,Al,56,internal,,,,,,,1.43
6.05842495,14.136324882899999,-27.1168003082,53,Al,56,internal,,,,,,,1.43
6.05842495,14.136324882899999,-23.0777530672,54,Al,56,internal,,,,,,,1.43
6.05842495,14.136324882899999,-19.038976669199997,55,Al,56,internal,,,,,,,1.43
6.05842495,14.136324882899999,-14.999929428199998,56,Al,56,internal,,,,,,,1.43
0.0,8.0778999329,0.0,1,Al,56,internal,,,,,,,1.43
0.0,8.0778999329,4.039047241,2,Al,56,internal,,,,,,,1.43
0.0,8.0778999329,8.077823639,3,Al,56,internal,,,,,,,1.43
0.0,8.0778999329,12.11687088,4,Al,56,internal,,,,,,,1.43
0.0,10.0973749159,2.01938796,5,Al,56,internal,,,,,,,1.43
0.0,10.0973749159,6.05843544,6,Al,56,internal,,,,,,,1.43
0.0,10.0973749159,10.097211838,7,Al,56,internal,,,,,,,1.43
2.019474983,8.0778999329,2.01938796,8,Al,56,internal,,,,,,,1.43
2.019474983,8.0778999329,6.05843544,9,Al,56,internal,,,,,,,1.43
2.019474983,8.0778999329,10.097211838,10,Al,56,internal,,,,,,,1.43
2.019474983,10.0973749159,0.0,11,Al,56,internal,,,,,,,1.43
2.019474983,10.0973749159,4.039047241,12,Al,56,internal,,,,,,,1.43
2.019474983,10.0973749159,8.077823639,13,Al,56,internal,,,,,,,1.43
2.019474983,10.0973749159,12.11687088,14,Al,56,internal,,,,,,,1.43
4.038949966,8.0778999329,0.0,15,Al,56,internal,,,,,,,1.43
4.038949966,8.0778999329,4.039047241,16,Al,56,internal,,,,,,,1.43
4.038949966,8.0778999329,8.077823639,17,Al,56,internal,,,,,,,1.43
4.038949966,8.0778999329,12.11687088,18,Al,56,internal,,,,,,,1.43
4.038949966,10.0973749159,2.01938796,19,Al,56,internal,,,,,,,1.43
4.038949966,10.0973749159,6.05843544,20,Al,56,internal,,,,,,,1.43
4.038949966,10.0973749159,10.097211838,21,Al,56,internal,,,,,,,1.43
6.05842495,8.0778999329,2.01938796,22,Al,56,internal,,,,,,,1.43
6.05842495,8.0778999329,6.05843544,23,Al,56,internal,,,,,,,1.43
6.05842495,8.0778999329,10.097211838,24,Al,56,internal,,,,,,,1.43
6.05842495,10.0973749159,0.0,25,Al,56,internal,,,,,,,1.43
6.05842495,10.0973749159,4.039047241,26,Al,56,internal,,,,,,,1.43
6.05842495,10.0973749159,8.077823639,27,Al,56,internal,,,,,,,1.43
6.05842495,10.0973749159,12.11687088,28,Al,56,internal,,,,,,,1.43
0.0,12.1168498989,0.0,29,Al,56,internal,,,,,,,1.43
0.0,12.1168498989,4.039047241,30,Al,56,internal,,,,,,,1.43
0.0,12.1168498989,8.077823639,31,Al,56,internal,,,,,,,1.43
0.0,12.1168498989,12.11687088,32,Al,56,internal,,,,,,,1.43
0.0,14.136324882899999,2.01938796,33,Al,56,internal,,,,,,,1.43
0.0,14.136324882899999,6.05843544,34,Al,56,internal,,,,,,,1.43
0.0,14.136324882899999,10.097211838,35,Al,56,internal,,,,,,,1.43
2.019474983,12.1168498989,2.01938796,36,Al,56,internal,,,,,,,1.43
2.019474983,12.1168498989,6.05843544,37,Al,56,internal,,,,,,,1.43
2.019474983,12.1168498989,10.097211838,38,Al,56,internal,,,,,,,1.43
2.019474983,14.136324882899999,0.0,39,Al,56,internal,,,,,,,1.43
2.019474983,14.136324882899999,4.039047241,40,Al,56,internal,,,,,,,1.43
2.019474983,14.136324882899999,8.077823639,41,Al,56,internal,,,,,,,1.43
